MSSubClass,Utilities,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallCond,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinType1,BsmtFinType2,BsmtFinSF2,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,BsmtHalfBath,KitchenAbvGr,KitchenQual,Functional,FireplaceQu,GarageType,GarageQual,GarageCond,PavedDrive,MiscVal,EnclosedPorch,SalePrice
60,AllPub,CollgCr,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,NA,Attchd,TA,TA,Y,0,0,208500
20,AllPub,Veenker,Feedr,Norm,1Fam,1Story,8,MetalSd,MetalSd,TA,TA,CBlock,Gd,TA,ALQ,Unf,0,GasA,Ex,Y,SBrkr,0,1,1,TA,Typ,TA,Attchd,TA,TA,Y,0,0,181500
60,AllPub,CollgCr,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,TA,Attchd,TA,TA,Y,0,0,223500
70,AllPub,Crawfor,Norm,Norm,1Fam,2Story,5,Wd Sdng,Wd Shng,TA,TA,BrkTil,TA,Gd,ALQ,Unf,0,GasA,Gd,Y,SBrkr,0,0,1,Gd,Typ,Gd,Detchd,TA,TA,Y,0,272,140000
60,AllPub,NoRidge,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,TA,Attchd,TA,TA,Y,0,0,250000
50,AllPub,Mitchel,Norm,Norm,1Fam,1.5Fin,5,VinylSd,VinylSd,TA,TA,Wood,Gd,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,NA,Attchd,TA,TA,Y,700,0,143000
20,AllPub,Somerst,Norm,Norm,1Fam,1Story,5,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,Attchd,TA,TA,Y,0,0,307000
60,AllPub,NWAmes,PosN,Norm,1Fam,2Story,6,HdBoard,HdBoard,TA,TA,CBlock,Gd,TA,ALQ,BLQ,32,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,TA,Attchd,TA,TA,Y,350,228,200000
50,AllPub,OldTown,Artery,Norm,1Fam,1.5Fin,5,BrkFace,Wd Shng,TA,TA,BrkTil,TA,TA,Unf,Unf,0,GasA,Gd,Y,FuseF,0,0,2,TA,Min1,TA,Detchd,Fa,TA,Y,0,205,129900
190,AllPub,BrkSide,Artery,Artery,2fmCon,1.5Unf,6,MetalSd,MetalSd,TA,TA,BrkTil,TA,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,2,TA,Typ,TA,Attchd,Gd,TA,Y,0,0,118000
20,AllPub,Sawyer,Norm,Norm,1Fam,1Story,5,HdBoard,HdBoard,TA,TA,CBlock,TA,TA,Rec,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,NA,Detchd,TA,TA,Y,0,0,129500
60,AllPub,NridgHt,Norm,Norm,1Fam,2Story,5,WdShing,Wd Shng,Ex,TA,PConc,Ex,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Ex,Typ,Gd,BuiltIn,TA,TA,Y,0,0,345000
20,AllPub,Sawyer,Norm,Norm,1Fam,1Story,6,HdBoard,Plywood,TA,TA,CBlock,TA,TA,ALQ,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,NA,Detchd,TA,TA,Y,0,0,144000
20,AllPub,CollgCr,Norm,Norm,1Fam,1Story,5,VinylSd,VinylSd,Gd,TA,PConc,Gd,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,Attchd,TA,TA,Y,0,0,279500
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,5,MetalSd,MetalSd,TA,TA,CBlock,TA,TA,BLQ,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Typ,Fa,Attchd,TA,TA,Y,0,176,157000
45,AllPub,BrkSide,Norm,Norm,1Fam,1.5Unf,8,Wd Sdng,Wd Sdng,TA,TA,BrkTil,TA,TA,Unf,Unf,0,GasA,Ex,Y,FuseA,0,0,1,TA,Typ,NA,Detchd,TA,TA,Y,0,0,132000
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,7,Wd Sdng,Wd Sdng,TA,TA,CBlock,TA,TA,ALQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,TA,Typ,TA,Attchd,TA,TA,Y,700,0,149000
90,AllPub,Sawyer,Norm,Norm,Duplex,1Story,5,MetalSd,MetalSd,TA,TA,Slab,NA,NA,NA,NA,0,GasA,TA,Y,SBrkr,0,0,2,TA,Typ,NA,CarPort,TA,TA,Y,500,0,90000
20,AllPub,SawyerW,RRAe,Norm,1Fam,1Story,5,VinylSd,VinylSd,TA,TA,PConc,TA,TA,GLQ,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,NA,Detchd,TA,TA,Y,0,0,159000
20,AllPub,NAmes,Norm,Norm,1Fam,1Story,6,BrkFace,Plywood,TA,TA,CBlock,TA,TA,LwQ,Unf,0,GasA,TA,Y,SBrkr,0,0,1,TA,Min1,NA,Attchd,TA,TA,Y,0,0,139000
60,AllPub,NridgHt,Norm,Norm,1Fam,2Story,5,VinylSd,VinylSd,Gd,TA,PConc,Ex,TA,Unf,Unf,0,GasA,Ex,Y,SBrkr,0,0,1,Gd,Typ,Gd,BuiltIn,TA,TA,Y,0,0,325300
